nombre,codigo_barras,descripcion,categoria,marca,unidad,precio_costo,precio_venta,IVA,stock_minimo,stock_inicial,es_fraccionable,modo_precio,margen,markup,precio_fijo,paso_redondeo,metodo_costo
Producto Con IVA Texto,7791234567940,IVA como texto no numerico,Herramientas Electricas,Bosch,u,85000,119900,veintiuno,2,4,false,margin,35,,false,10,avg_weighted
Producto Con Marca Vacia,7791234567941,Producto sin marca en el campo,Herramientas Electricas,,u,85000,119900,21,2,4,false,margin,35,,false,10,avg_weighted
Taladro Percutor 13mm 850W,7791234567942,Taladro percutor de alta potencia,Herramientas Electricas,Bosch,u,125000,189000,21,3,6,false,margin,34,,false,100,avg_weighted
Sierra Caladora 600W,7791234567943,Sierra caladora con cambio rapido de hoja,Herramientas Electricas,Bosch,u,95000,142500,21,2,4,false,margin,34,,false,100,avg_weighted
Esmeril Angular 4.5 pulgadas 1150W,7791234567944,Esmeril angular para corte y pulido,Herramientas Electricas,Bosch,u,85000,127500,21,3,6,false,margin,33,,false,100,avg_weighted
Lijadora Orbital 125mm 300W,7791234567945,Lijadora de mano para acabados,Herramientas Electricas,Bosch,u,78000,117000,21,2,4,false,margin,33,,false,100,avg_weighted
Compresor de Aire 2Gal 1HP,7791234567946,Compresor portatil para herramientas neumaticas,MAQUINAS,Campbell,u,225000,339000,21,1,2,false,fixed,,false,500,avg_weighted
Motosierra 16 pulgadas 45cc,7791234567947,Motosierra para poda y corte,JARDINERIA,Stihl,u,350000,525000,21,1,2,false,fixed,,false,1000,avg_weighted
Atomizador 5L,7791234567948,Atomizador de espalda para fumigacion,JARDINERIA,Stihl,u,45000,67900,21,2,4,false,fixed,,false,100,avg_weighted
Carretilla 4 pies cubicos,7791234567949,Carretilla de carga con neumatico,FERRETERIA GENERAL,Truper,u,28000,41900,21,3,6,false,fixed,,false,100,avg_weighted
Hormigonera 120L,7791234567950,Mezcladora de concreto portatil,MAQUINAS,Bosch,u,185000,279000,21,1,2,false,fixed,,false,500,avg_weighted
